% Description of the German credit dataset.
%
% 1. Title: German Credit data
%
% 2. Source Information
%
% Professor Dr. Hans Hofmann
% Institut f"ur Statistik und "Okonometrie
% Universit"at Hamburg
% FB Wirtschaftswissenschaften
% Von-Melle-Park 5
% 2000 Hamburg 13
%
% 3. Number of Instances:  1000
%
% Two datasets are provided.  the original dataset, in the form provided
% by Prof. Hofmann, contains categorical/symbolic attributes and
% is in the file "german.data".
%
% For algorithms that need numerical attributes, Strathclyde University
% produced the file "german.data-numeric".  This file has been edited
% and several indicator variables added to make it suitable for
% algorithms which cannot cope with categorical variables.   Several
% attributes that are ordered categorical (such as attribute 17) have
% been coded as integer.    This was the form used by StatLog.
%
%
% 6. Number of Attributes german: 20 (7 numerical, 13 categorical)
%    Number of Attributes german.numer: 24 (24 numerical)
%
%
% 7.  Attribute description for german
%
% Attribute 1:  (qualitative)
% 	       Status of existing checking account
%                A11 :      ... <    0 DM
% 	       A12 : 0 <= ... <  200 DM
% 	       A13 :      ... >= 200 DM /
% 		     salary assignments for at least 1 year
%                A14 : no checking account
%
% Attribute 2:  (numerical)
% 	      Duration in month
%
% Attribute 3:  (qualitative)
% 	      Credit history
% 	      A30 : no credits taken/
% 		    all credits paid back duly
%               A31 : all credits at this bank paid back duly
% 	      A32 : existing credits paid back duly till now
%               A33 : delay in paying off in the past
% 	      A34 : critical account/
% 		    other credits existing (not at this bank)
%
% Attribute 4:  (qualitative)
% 	      Purpose
% 	      A40 : car (new)
% 	      A41 : car (used)
% 	      A42 : furniture/equipment
% 	      A43 : radio/television
% 	      A44 : domestic appliances
% 	      A45 : repairs
% 	      A46 : education
% 	      A47 : (vacation - does not exist?)
% 	      A48 : retraining
% 	      A49 : business
% 	      A410 : others
%
% Attribute 5:  (numerical)
% 	      Credit amount
%
% Attibute 6:  (qualitative)
% 	      Savings account/bonds
% 	      A61 :          ... <  100 DM
% 	      A62 :   100 <= ... <  500 DM
% 	      A63 :   500 <= ... < 1000 DM
% 	      A64 :          .. >= 1000 DM
%               A65 :   unknown/ no savings account
%
% Attribute 7:  (qualitative)
% 	      Present employment since
% 	      A71 : unemployed
% 	      A72 :       ... < 1 year
% 	      A73 : 1  <= ... < 4 years
% 	      A74 : 4  <= ... < 7 years
% 	      A75 :       .. >= 7 years
%
% Attribute 8:  (numerical)
% 	      Installment rate in percentage of disposable income
%
% Attribute 9:  (qualitative)
% 	      Personal status and sex
% 	      A91 : male   : divorced/separated
% 	      A92 : female : divorced/separated/married
%               A93 : male   : single
% 	      A94 : male   : married/widowed
% 	      A95 : female : single
%
% Attribute 10: (qualitative)
% 	      Other debtors / guarantors
% 	      A101 : none
% 	      A102 : co-applicant
% 	      A103 : guarantor
%
% Attribute 11: (numerical)
% 	      Present residence since
%
% Attribute 12: (qualitative)
% 	      Property
% 	      A121 : real estate
% 	      A122 : if not A121 : building society savings agreement/
% 				   life insurance
%               A123 : if not A121/A122 : car or other, not in attribute 6
% 	      A124 : unknown / no property
%
% Attribute 13: (numerical)
% 	      Age in years
%
% Attribute 14: (qualitative)
% 	      Other installment plans
% 	      A141 : bank
% 	      A142 : stores
% 	      A143 : none
%
% Attribute 15: (qualitative)
% 	      Housing
% 	      A151 : rent
% 	      A152 : own
% 	      A153 : for free
%
% Attribute 16: (numerical)
%               Number of existing credits at this bank
%
% Attribute 17: (qualitative)
% 	      Job
% 	      A171 : unemployed/ unskilled  - non-resident
% 	      A172 : unskilled - resident
% 	      A173 : skilled employee / official
% 	      A174 : management/ self-employed/
% 		     highly qualified employee/ officer
%
% Attribute 18: (numerical)
% 	      Number of people being liable to provide maintenance for
%
% Attribute 19: (qualitative)
% 	      Telephone
% 	      A191 : none
% 	      A192 : yes, registered under the customers name
%
% Attribute 20: (qualitative)
% 	      foreign worker
% 	      A201 : yes
% 	      A202 : no
%
%
%
% 8.  Cost Matrix
%
% This dataset requires use of a cost matrix (see below)
%
%
%       1        2
% ----------------------------
%   1   0        1
% -----------------------
%   2   5        0
%
% (1 = Good,  2 = Bad)
%
% the rows represent the actual classification and the columns
% the predicted classification.
%
% It is worse to class a customer as good when they are bad (5),
% than it is to class a customer as bad when they are good (1).
%
%
%
%
%
% Relabeled values in attribute checking_status
%    From: A11                     To: '<0'
%    From: A12                     To: '0<=X<200'
%    From: A13                     To: '>=200'
%    From: A14                     To: 'no checking'
%
%
% Relabeled values in attribute credit_history
%    From: A30                     To: 'no credits/all paid'
%    From: A31                     To: 'all paid'
%    From: A32                     To: 'existing paid'
%    From: A33                     To: 'delayed previously'
%    From: A34                     To: 'critical/other existing credit'
%
%
% Relabeled values in attribute purpose
%    From: A40                     To: 'new car'
%    From: A41                     To: 'used car'
%    From: A42                     To: furniture/equipment
%    From: A43                     To: radio/tv
%    From: A44                     To: 'domestic appliance'
%    From: A45                     To: repairs
%    From: A46                     To: education
%    From: A47                     To: vacation
%    From: A48                     To: retraining
%    From: A49                     To: business
%    From: A410                    To: other
%
%
% Relabeled values in attribute savings_status
%    From: A61                     To: '<100'
%    From: A62                     To: '100<=X<500'
%    From: A63                     To: '500<=X<1000'
%    From: A64                     To: '>=1000'
%    From: A65                     To: 'no known savings'
%
%
% Relabeled values in attribute employment
%    From: A71                     To: unemployed
%    From: A72                     To: '<1'
%    From: A73                     To: '1<=X<4'
%    From: A74                     To: '4<=X<7'
%    From: A75                     To: '>=7'
%
%
% Relabeled values in attribute personal_status
%    From: A91                     To: 'male div/sep'
%    From: A92                     To: 'female div/dep/mar'
%    From: A93                     To: 'male single'
%    From: A94                     To: 'male mar/wid'
%    From: A95                     To: 'female single'
%
%
% Relabeled values in attribute other_parties
%    From: A101                    To: none
%    From: A102                    To: 'co applicant'
%    From: A103                    To: guarantor
%
%
% Relabeled values in attribute property_magnitude
%    From: A121                    To: 'real estate'
%    From: A122                    To: 'life insurance'
%    From: A123                    To: car
%    From: A124                    To: 'no known property'
%
%
% Relabeled values in attribute other_payment_plans
%    From: A141                    To: bank
%    From: A142                    To: stores
%    From: A143                    To: none
%
%
% Relabeled values in attribute housing
%    From: A151                    To: rent
%    From: A152                    To: own
%    From: A153                    To: 'for free'
%
%
% Relabeled values in attribute job
%    From: A171                    To: 'unemp/unskilled non res'
%    From: A172                    To: 'unskilled resident'
%    From: A173                    To: skilled
%    From: A174                    To: 'high qualif/self emp/mgmt'
%
%
% Relabeled values in attribute own_telephone
%    From: A191                    To: none
%    From: A192                    To: yes
%
%
% Relabeled values in attribute foreign_worker
%    From: A201                    To: yes
%    From: A202                    To: no
%
%
% Relabeled values in attribute class
%    From: 1                       To: good
%    From: 2                       To: bad
%
@RELATION credit-g

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE checking_status {<0, 0<=X<200, >=200, 'no checking'}
@ATTRIBUTE duration REAL
@ATTRIBUTE credit_history {'no credits/all paid', 'all paid', 'existing paid', 'delayed previously', 'critical/other existing credit'}
@ATTRIBUTE purpose {'new car', 'used car', furniture/equipment, radio/tv, 'domestic appliance', repairs, education, vacation, retraining, business, other}
@ATTRIBUTE credit_amount REAL
@ATTRIBUTE savings_status {<100, 100<=X<500, 500<=X<1000, >=1000, 'no known savings'}
@ATTRIBUTE employment {unemployed, <1, 1<=X<4, 4<=X<7, >=7}
@ATTRIBUTE installment_commitment REAL
@ATTRIBUTE personal_status {'male div/sep', 'female div/dep/mar', 'male single', 'male mar/wid', 'female single'}
@ATTRIBUTE other_parties {none, 'co applicant', guarantor}
@ATTRIBUTE residence_since REAL
@ATTRIBUTE property_magnitude {'real estate', 'life insurance', car, 'no known property'}
@ATTRIBUTE age REAL
@ATTRIBUTE other_payment_plans {bank, stores, none}
@ATTRIBUTE housing {rent, own, 'for free'}
@ATTRIBUTE existing_credits REAL
@ATTRIBUTE job {'unemp/unskilled non res', 'unskilled resident', skilled, 'high qualif/self emp/mgmt'}
@ATTRIBUTE num_dependents REAL
@ATTRIBUTE own_telephone {none, yes}
@ATTRIBUTE foreign_worker {yes, no}
@ATTRIBUTE class {good, bad}

@DATA
8,'no checking',12.0,'existing paid',radio/tv,3059.0,>=1000,4<=X<7,2.0,'male div/sep',none,4.0,'real estate',61.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
16,'no checking',24.0,'critical/other existing credit',radio/tv,2424.0,'no known savings',>=7,4.0,'male single',none,4.0,'life insurance',53.0,none,own,2.0,skilled,1.0,none,yes,good
17,<0,30.0,'no credits/all paid',business,8072.0,'no known savings',<1,2.0,'male single',none,3.0,car,25.0,bank,own,3.0,skilled,1.0,none,yes,good
26,'no checking',6.0,'no credits/all paid',radio/tv,426.0,<100,>=7,4.0,'male mar/wid',none,4.0,car,39.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
36,'no checking',48.0,'critical/other existing credit',education,6110.0,<100,1<=X<4,1.0,'male single',none,3.0,'no known property',31.0,bank,'for free',1.0,skilled,1.0,yes,yes,good
37,>=200,18.0,'existing paid',radio/tv,2100.0,<100,1<=X<4,4.0,'male single','co applicant',2.0,'real estate',37.0,stores,own,1.0,skilled,1.0,none,yes,bad
45,'no checking',11.0,'critical/other existing credit','new car',1393.0,<100,<1,4.0,'female div/dep/mar',none,4.0,car,35.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,none,yes,good
48,'no checking',11.0,'critical/other existing credit','new car',7228.0,<100,1<=X<4,1.0,'male single',none,4.0,'life insurance',39.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
53,'no checking',18.0,'existing paid','used car',3378.0,'no known savings',1<=X<4,2.0,'male single',none,1.0,'life insurance',31.0,none,own,1.0,skilled,1.0,yes,yes,good
103,0<=X<200,9.0,'critical/other existing credit',furniture/equipment,1919.0,<100,4<=X<7,4.0,'male single',none,3.0,car,35.0,none,rent,1.0,skilled,1.0,yes,yes,good
111,>=200,15.0,'existing paid',education,392.0,<100,<1,4.0,'female div/dep/mar',none,4.0,'life insurance',23.0,none,rent,1.0,skilled,1.0,yes,yes,good
112,0<=X<200,18.0,'existing paid','new car',6260.0,<100,4<=X<7,3.0,'male single',none,3.0,'real estate',28.0,none,rent,1.0,'unskilled resident',1.0,none,yes,good
115,'no checking',48.0,'critical/other existing credit',radio/tv,3578.0,'no known savings',>=7,4.0,'male single',none,1.0,'real estate',47.0,none,own,1.0,skilled,1.0,yes,yes,good
119,0<=X<200,12.0,'critical/other existing credit','new car',2366.0,500<=X<1000,4<=X<7,3.0,'male div/sep',none,3.0,car,36.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
122,'no checking',12.0,'existing paid',furniture/equipment,1768.0,<100,1<=X<4,3.0,'male single',none,2.0,'real estate',24.0,none,rent,1.0,'unskilled resident',1.0,none,yes,good
123,>=200,10.0,'critical/other existing credit','new car',781.0,<100,>=7,4.0,'male single',none,4.0,'no known property',63.0,none,'for free',2.0,skilled,1.0,yes,yes,good
127,0<=X<200,12.0,'existing paid',repairs,639.0,<100,1<=X<4,4.0,'male single',none,2.0,car,30.0,none,own,1.0,skilled,1.0,none,yes,bad
129,<0,12.0,'critical/other existing credit','new car',3499.0,<100,1<=X<4,3.0,'female div/dep/mar','co applicant',2.0,'real estate',29.0,none,own,2.0,skilled,1.0,none,yes,bad
143,<0,18.0,'existing paid',furniture/equipment,2462.0,<100,1<=X<4,2.0,'male single',none,2.0,car,22.0,none,own,1.0,skilled,1.0,none,yes,bad
146,<0,6.0,'critical/other existing credit','new car',860.0,<100,>=7,1.0,'female div/dep/mar',none,4.0,'no known property',39.0,none,own,2.0,skilled,1.0,yes,yes,good
147,'no checking',12.0,'critical/other existing credit','new car',682.0,100<=X<500,4<=X<7,4.0,'female div/dep/mar',none,3.0,car,51.0,none,own,2.0,skilled,1.0,yes,yes,good
150,'no checking',6.0,'existing paid',radio/tv,1346.0,100<=X<500,>=7,2.0,'male single',none,4.0,'no known property',42.0,bank,'for free',1.0,skilled,2.0,yes,yes,good
151,'no checking',10.0,'existing paid',radio/tv,1924.0,<100,1<=X<4,1.0,'male single',none,4.0,'life insurance',38.0,none,own,1.0,skilled,1.0,yes,no,good
152,>=200,36.0,'existing paid',radio/tv,5848.0,<100,1<=X<4,4.0,'male single',none,1.0,car,24.0,none,own,1.0,skilled,1.0,none,yes,good
157,<0,12.0,'all paid',retraining,339.0,<100,>=7,4.0,'male mar/wid',none,1.0,car,45.0,bank,own,1.0,'unskilled resident',1.0,none,yes,good
162,'no checking',15.0,'existing paid','domestic appliance',1262.0,500<=X<1000,4<=X<7,4.0,'male single',none,3.0,'life insurance',36.0,none,own,2.0,skilled,1.0,yes,yes,good
171,'no checking',12.0,'existing paid',furniture/equipment,763.0,<100,1<=X<4,4.0,'female div/dep/mar',none,1.0,'real estate',26.0,none,own,1.0,skilled,1.0,yes,yes,good
180,'no checking',36.0,'delayed previously',business,9572.0,<100,<1,1.0,'male div/sep',none,1.0,car,28.0,none,own,2.0,skilled,1.0,none,yes,bad
183,'no checking',24.0,'critical/other existing credit',furniture/equipment,3777.0,>=1000,1<=X<4,4.0,'male single',none,4.0,'real estate',50.0,none,own,1.0,skilled,1.0,yes,yes,good
186,0<=X<200,9.0,'all paid','used car',5129.0,<100,>=7,2.0,'female div/dep/mar',none,4.0,'no known property',74.0,bank,'for free',1.0,'high qualif/self emp/mgmt',2.0,yes,yes,bad
190,'no checking',24.0,'existing paid',business,4591.0,>=1000,1<=X<4,2.0,'male single',none,3.0,'life insurance',54.0,none,own,3.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
194,0<=X<200,45.0,'existing paid',radio/tv,3031.0,100<=X<500,1<=X<4,4.0,'male single',guarantor,4.0,'life insurance',21.0,none,rent,1.0,skilled,1.0,none,yes,bad
197,0<=X<200,12.0,'existing paid',furniture/equipment,951.0,100<=X<500,<1,4.0,'female div/dep/mar',none,4.0,car,27.0,bank,rent,4.0,skilled,1.0,none,yes,bad
202,'no checking',27.0,'delayed previously',business,5117.0,<100,4<=X<7,3.0,'male single',none,4.0,car,26.0,none,own,2.0,skilled,1.0,none,yes,good
207,0<=X<200,12.0,'critical/other existing credit','domestic appliance',1424.0,<100,4<=X<7,4.0,'male single',none,3.0,'life insurance',26.0,none,own,1.0,skilled,1.0,none,yes,good
219,'no checking',10.0,'existing paid','new car',1364.0,<100,1<=X<4,2.0,'female div/dep/mar',none,4.0,car,64.0,none,own,1.0,skilled,1.0,yes,yes,good
224,'no checking',15.0,'existing paid','used car',4657.0,<100,1<=X<4,3.0,'male single',none,2.0,car,30.0,none,own,1.0,skilled,1.0,yes,yes,good
225,'no checking',36.0,'no credits/all paid',repairs,2613.0,<100,1<=X<4,4.0,'male single',none,2.0,car,27.0,none,own,2.0,skilled,1.0,none,yes,good
226,0<=X<200,48.0,'existing paid',radio/tv,10961.0,>=1000,4<=X<7,1.0,'male single','co applicant',2.0,'no known property',27.0,bank,own,2.0,skilled,1.0,yes,yes,bad
229,<0,24.0,'existing paid',furniture/equipment,3149.0,<100,<1,4.0,'male single',none,1.0,'no known property',22.0,bank,'for free',1.0,skilled,1.0,none,yes,good
232,'no checking',12.0,'existing paid',radio/tv,2141.0,100<=X<500,4<=X<7,3.0,'male single',none,1.0,'no known property',35.0,none,own,1.0,skilled,1.0,none,yes,good
233,0<=X<200,18.0,'existing paid',radio/tv,866.0,<100,1<=X<4,4.0,'male mar/wid',guarantor,2.0,'real estate',25.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
246,'no checking',12.0,'critical/other existing credit',radio/tv,717.0,<100,>=7,4.0,'male single',none,4.0,'real estate',52.0,none,own,3.0,skilled,1.0,none,yes,good
253,'no checking',24.0,'delayed previously',furniture/equipment,4151.0,100<=X<500,1<=X<4,2.0,'male single',none,3.0,'life insurance',35.0,none,own,2.0,skilled,1.0,none,yes,good
255,0<=X<200,60.0,'delayed previously',radio/tv,7418.0,'no known savings',1<=X<4,1.0,'male single',none,1.0,'real estate',27.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
