% 1. Title of Database: Annealing Data
%
% 2. Source Information: donated by David Sterling and Wray Buntine.
%
% 3. Past Usage: unknown
%
% 4. Relevant Information:
%    -- Explanation: I suspect this was left by Ross Quinlan in 1987 at the
%       4th Machine Learning Workshop.  I'd have to check with Jeff Schlimmer
%       to double check this.
%
% 5. Number of Instances: 798
%
% 6. Number of Attributes: 38
%    -- 6 continuously-valued
%    -- 3 integer-valued
%    -- 29 nominal-valued
%
% 7. Attribute Information:
%     1. family:          --,GB,GK,GS,TN,ZA,ZF,ZH,ZM,ZS
%     2. product-type:    C, H, G
%     3. steel:           -,R,A,U,K,M,S,W,V
%     4. carbon:          continuous
%     5. hardness:        continuous
%     6. temper_rolling:  -,T
%     7. condition:       -,S,A,X
%     8. formability:     -,1,2,3,4,5
%     9. strength:        continuous
%    10. non-ageing:      -,N
%    11. surface-finish:  P,M,-
%    12. surface-quality: -,D,E,F,G
%    13. enamelability:   -,1,2,3,4,5
%    14. bc:              Y,-
%    15. bf:              Y,-
%    16. bt:              Y,-
%    17. bw/me:           B,M,-
%    18. bl:              Y,-
%    19. m:               Y,-
%    20. chrom:           C,-
%    21. phos:            P,-
%    22. cbond:           Y,-
%    23. marvi:           Y,-
%    24. exptl:           Y,-
%    25. ferro:           Y,-
%    26. corr:            Y,-
%    27. blue/bright/varn/clean:          B,R,V,C,-
%    28. lustre:          Y,-
%    29. jurofm:          Y,-
%    30. s:               Y,-
%    31. p:               Y,-
%    32. shape:           COIL, SHEET
%    33. thick:           continuous
%    34. width:           continuous
%    35. len:             continuous
%    36. oil:             -,Y,N
%    37. bore:            0000,0500,0600,0760
%    38. packing: -,1,2,3
%    classes:        1,2,3,4,5,U
%
%    -- The '-' values are actually 'not_applicable' values rather than
%       'missing_values' (and so can be treated as legal discrete
%       values rather than as showing the absence of a discrete value).
%
% 8. Missing Attribute Values: Signified with "?"
%    Attribute:  Number of instances missing its value:
%    1           0
%    2           0
%    3           70
%    4           0
%    5           0
%    6           675
%    7           271
%    8           283
%    9           0
%   10           703
%   11           790
%   12           217
%   13           785
%   14           797
%   15           680
%   16           736
%   17           609
%   18           662
%   19           798
%   20           775
%   21           791
%   22           730
%   23           798
%   24           796
%   25           772
%   26           798
%   27           793
%   28           753
%   29           798
%   30           798
%   31           798
%   32           0
%   33           0
%   34           0
%   35           0
%   36           740
%   37           0
%   38           789
%   39           0
%
% 9. Distribution of Classes
%      Class Name:   Number of Instances:
%      1               8
%      2              88
%      3             608
%      4               0
%      5              60
%      U              34
%                    ---
%                    798
%
@RELATION anneal

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE family {GB, GK, GS, TN, ZA, ZF, ZH, ZM, ZS}
@ATTRIBUTE product-type {C, H, G}
@ATTRIBUTE steel {R, A, U, K, M, S, W, V}
@ATTRIBUTE carbon REAL
@ATTRIBUTE hardness REAL
@ATTRIBUTE temper_rolling {T}
@ATTRIBUTE condition {S, A, X}
@ATTRIBUTE formability {1, 2, 3, 4, 5}
@ATTRIBUTE strength REAL
@ATTRIBUTE non-ageing {N}
@ATTRIBUTE surface-finish {P, M}
@ATTRIBUTE surface-quality {D, E, F, G}
@ATTRIBUTE enamelability {1, 2, 3, 4, 5}
@ATTRIBUTE bc {Y}
@ATTRIBUTE bf {Y}
@ATTRIBUTE bt {Y}
@ATTRIBUTE "bw%2Fme" {B, M}
@ATTRIBUTE bl {Y}
@ATTRIBUTE m {Y}
@ATTRIBUTE chrom {C}
@ATTRIBUTE phos {P}
@ATTRIBUTE cbond {Y}
@ATTRIBUTE marvi {Y}
@ATTRIBUTE exptl {Y}
@ATTRIBUTE ferro {Y}
@ATTRIBUTE corr {Y}
@ATTRIBUTE "blue%2Fbright%2Fvarn%2Fclean" {B, R, V, C}
@ATTRIBUTE lustre {Y}
@ATTRIBUTE jurofm {Y}
@ATTRIBUTE s {Y}
@ATTRIBUTE p {Y}
@ATTRIBUTE shape {COIL, SHEET}
@ATTRIBUTE thick REAL
@ATTRIBUTE width REAL
@ATTRIBUTE len REAL
@ATTRIBUTE oil {Y, N}
@ATTRIBUTE bore {0, 500, 600, 760}
@ATTRIBUTE packing {1, 2, 3}
@ATTRIBUTE class {1, 2, 3, 4, 5, U}

@DATA
5,?,C,A,0.0,45.0,?,S,?,0.0,?,?,D,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,1.6,610.0,0.0,?,0,?,3
10,?,C,R,0.0,0.0,?,S,2,0.0,?,?,E,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,1.2,610.0,0.0,?,0,?,3
23,?,C,S,70.0,0.0,?,S,2,0.0,?,?,E,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,3.2,609.9,0.0,?,0,?,3
25,?,C,S,0.0,50.0,T,S,2,0.0,?,?,G,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,3.2,1320.0,0.0,?,0,?,3
30,TN,C,A,0.0,0.0,T,S,3,0.0,N,?,G,?,?,?,Y,B,?,?,?,?,?,?,?,Y,?,?,?,?,?,?,SHEET,0.6,610.0,4880.0,?,0,?,5
31,TN,C,A,0.0,45.0,T,S,3,0.0,N,?,E,?,?,?,Y,B,?,?,?,?,Y,?,?,Y,?,?,?,?,?,?,SHEET,1.4,1320.0,4170.0,?,0,?,3
33,TN,C,A,0.0,85.0,T,S,3,0.0,N,?,G,?,?,?,Y,B,?,?,?,?,Y,?,?,Y,?,?,?,?,?,?,COIL,4.0,450.0,0.0,?,0,?,U
39,TN,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,?,Y,B,?,?,?,?,Y,?,?,Y,?,?,?,?,?,?,SHEET,1.6,374.9,4880.0,?,0,?,3
44,TN,C,A,0.0,0.0,T,S,3,0.0,N,?,E,?,?,?,Y,B,?,?,?,?,Y,?,?,Y,?,?,?,?,?,?,COIL,0.799,20.0,0.0,?,0,?,5
49,TN,C,A,0.0,0.0,T,S,2,0.0,N,?,G,?,?,?,Y,B,?,?,?,?,Y,?,?,Y,?,?,?,?,?,?,SHEET,0.699,1320.0,4880.0,N,0,?,3
54,TN,C,A,0.0,0.0,T,S,2,0.0,N,?,E,?,?,?,Y,B,?,?,?,?,Y,?,?,Y,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,N,0,?,3
63,ZS,C,A,0.0,85.0,T,S,2,0.0,N,?,E,?,?,?,Y,B,?,?,?,?,Y,?,?,Y,?,?,?,?,?,?,SHEET,1.0,610.0,762.0,N,0,?,U
65,ZS,C,A,0.0,0.0,T,S,1,0.0,N,?,G,?,?,?,Y,B,Y,?,?,?,Y,?,?,Y,?,?,?,?,?,?,SHEET,0.301,515.0,610.0,Y,0,?,3
66,TN,C,A,0.0,0.0,T,S,3,0.0,N,?,G,?,?,?,Y,B,Y,?,C,?,Y,?,?,Y,?,?,?,?,?,?,SHEET,1.2,335.0,611.0,Y,0,?,5
67,TN,C,R,0.0,0.0,T,S,3,0.0,N,?,G,?,?,?,Y,B,Y,?,C,?,Y,?,?,Y,?,?,?,?,?,?,SHEET,0.8,1320.0,762.0,Y,0,?,2
70,TN,C,A,0.0,70.0,T,S,3,0.0,N,?,G,?,?,?,Y,B,Y,?,C,?,Y,?,?,Y,?,?,?,?,?,?,COIL,0.801,610.0,0.0,Y,600,?,3
72,TN,C,A,0.0,0.0,T,S,1,0.0,N,?,G,?,?,?,Y,B,Y,?,C,?,Y,?,?,Y,?,?,?,?,?,?,SHEET,0.699,610.0,762.0,Y,0,?,3
76,TN,C,A,0.0,0.0,T,S,1,500.0,N,P,G,?,?,?,Y,B,Y,?,C,?,Y,?,?,Y,?,?,?,?,?,?,SHEET,1.6,609.9,4880.0,Y,0,?,2
77,TN,C,A,0.0,0.0,T,S,3,0.0,N,P,G,?,?,?,Y,B,Y,?,C,?,Y,?,?,Y,?,?,?,?,?,?,COIL,0.601,1320.0,0.0,Y,0,?,3
78,ZS,C,A,0.0,70.0,T,S,3,0.0,N,P,E,?,?,?,Y,B,Y,?,C,?,Y,?,?,Y,?,?,?,?,?,?,COIL,2.0,1250.0,0.0,Y,0,?,3
82,ZS,C,V,0.0,0.0,T,S,2,0.0,N,P,E,2,?,?,Y,B,Y,?,C,?,Y,?,?,Y,?,?,?,?,?,?,SHEET,1.599,610.0,1.0,Y,0,?,2
