% 1. Title of Database: Annealing Data
%
% 2. Source Information: donated by David Sterling and Wray Buntine.
%
% 3. Past Usage: unknown
%
% 4. Relevant Information:
%    -- Explanation: I suspect this was left by Ross Quinlan in 1987 at the
%       4th Machine Learning Workshop.  I'd have to check with Jeff Schlimmer
%       to double check this.
%
% 5. Number of Instances: 798
%
% 6. Number of Attributes: 38
%    -- 6 continuously-valued
%    -- 3 integer-valued
%    -- 29 nominal-valued
%
% 7. Attribute Information:
%     1. family:          --,GB,GK,GS,TN,ZA,ZF,ZH,ZM,ZS
%     2. product-type:    C, H, G
%     3. steel:           -,R,A,U,K,M,S,W,V
%     4. carbon:          continuous
%     5. hardness:        continuous
%     6. temper_rolling:  -,T
%     7. condition:       -,S,A,X
%     8. formability:     -,1,2,3,4,5
%     9. strength:        continuous
%    10. non-ageing:      -,N
%    11. surface-finish:  P,M,-
%    12. surface-quality: -,D,E,F,G
%    13. enamelability:   -,1,2,3,4,5
%    14. bc:              Y,-
%    15. bf:              Y,-
%    16. bt:              Y,-
%    17. bw/me:           B,M,-
%    18. bl:              Y,-
%    19. m:               Y,-
%    20. chrom:           C,-
%    21. phos:            P,-
%    22. cbond:           Y,-
%    23. marvi:           Y,-
%    24. exptl:           Y,-
%    25. ferro:           Y,-
%    26. corr:            Y,-
%    27. blue/bright/varn/clean:          B,R,V,C,-
%    28. lustre:          Y,-
%    29. jurofm:          Y,-
%    30. s:               Y,-
%    31. p:               Y,-
%    32. shape:           COIL, SHEET
%    33. thick:           continuous
%    34. width:           continuous
%    35. len:             continuous
%    36. oil:             -,Y,N
%    37. bore:            0000,0500,0600,0760
%    38. packing: -,1,2,3
%    classes:        1,2,3,4,5,U
%
%    -- The '-' values are actually 'not_applicable' values rather than
%       'missing_values' (and so can be treated as legal discrete
%       values rather than as showing the absence of a discrete value).
%
% 8. Missing Attribute Values: Signified with "?"
%    Attribute:  Number of instances missing its value:
%    1           0
%    2           0
%    3           70
%    4           0
%    5           0
%    6           675
%    7           271
%    8           283
%    9           0
%   10           703
%   11           790
%   12           217
%   13           785
%   14           797
%   15           680
%   16           736
%   17           609
%   18           662
%   19           798
%   20           775
%   21           791
%   22           730
%   23           798
%   24           796
%   25           772
%   26           798
%   27           793
%   28           753
%   29           798
%   30           798
%   31           798
%   32           0
%   33           0
%   34           0
%   35           0
%   36           740
%   37           0
%   38           789
%   39           0
%
% 9. Distribution of Classes
%      Class Name:   Number of Instances:
%      1               8
%      2              88
%      3             608
%      4               0
%      5              60
%      U              34
%                    ---
%                    798
%
@RELATION anneal

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE family {GB, GK, GS, TN, ZA, ZF, ZH, ZM, ZS}
@ATTRIBUTE product-type {C, H, G}
@ATTRIBUTE steel {R, A, U, K, M, S, W, V}
@ATTRIBUTE carbon REAL
@ATTRIBUTE hardness REAL
@ATTRIBUTE temper_rolling {T}
@ATTRIBUTE condition {S, A, X}
@ATTRIBUTE formability {1, 2, 3, 4, 5}
@ATTRIBUTE strength REAL
@ATTRIBUTE non-ageing {N}
@ATTRIBUTE surface-finish {P, M}
@ATTRIBUTE surface-quality {D, E, F, G}
@ATTRIBUTE enamelability {1, 2, 3, 4, 5}
@ATTRIBUTE bc {Y}
@ATTRIBUTE bf {Y}
@ATTRIBUTE bt {Y}
@ATTRIBUTE "bw%2Fme" {B, M}
@ATTRIBUTE bl {Y}
@ATTRIBUTE m {Y}
@ATTRIBUTE chrom {C}
@ATTRIBUTE phos {P}
@ATTRIBUTE cbond {Y}
@ATTRIBUTE marvi {Y}
@ATTRIBUTE exptl {Y}
@ATTRIBUTE ferro {Y}
@ATTRIBUTE corr {Y}
@ATTRIBUTE "blue%2Fbright%2Fvarn%2Fclean" {B, R, V, C}
@ATTRIBUTE lustre {Y}
@ATTRIBUTE jurofm {Y}
@ATTRIBUTE s {Y}
@ATTRIBUTE p {Y}
@ATTRIBUTE shape {COIL, SHEET}
@ATTRIBUTE thick REAL
@ATTRIBUTE width REAL
@ATTRIBUTE len REAL
@ATTRIBUTE oil {Y, N}
@ATTRIBUTE bore {0, 500, 600, 760}
@ATTRIBUTE packing {1, 2, 3}
@ATTRIBUTE class {1, 2, 3, 4, 5, U}

@DATA
0,?,C,A,8.0,0.0,?,S,?,0.0,?,?,G,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,?,0,?,3
3,?,C,A,0.0,60.0,T,S,?,0.0,?,?,G,?,?,?,?,M,?,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,2.801,385.1,0.0,?,0,?,3
9,?,C,A,0.0,0.0,T,S,3,0.0,N,?,E,?,?,?,?,M,?,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,1.0,1320.0,762.0,?,0,?,3
11,?,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,?,?,M,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.3,1320.0,4880.0,Y,0,?,3
15,?,C,A,0.0,0.0,T,S,2,0.0,N,?,E,?,?,?,?,M,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,4.0,1320.0,762.0,Y,0,?,3
19,?,C,A,0.0,70.0,T,S,2,0.0,N,?,G,?,?,?,?,M,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.501,1200.1,0.0,Y,0,?,3
22,?,C,A,0.0,85.0,T,S,2,0.0,N,?,G,?,?,?,?,M,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,1.001,50.0,0.0,Y,0,?,U
38,?,C,R,0.0,0.0,T,S,2,0.0,N,?,E,?,?,?,?,M,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.651,20.0,0.0,Y,0,?,3
42,ZS,C,A,0.0,50.0,T,S,2,0.0,N,?,E,?,?,?,?,M,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,Y,0,?,3
43,ZS,C,R,0.0,0.0,T,S,3,0.0,N,?,E,?,?,?,?,M,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.6,610.0,762.0,Y,0,?,3
46,ZS,C,R,0.0,0.0,T,S,3,0.0,N,?,E,?,?,?,?,M,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.601,610.0,4880.0,Y,0,?,3
50,ZS,C,A,0.0,0.0,T,S,2,0.0,N,?,E,?,?,?,?,B,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.7,609.9,762.0,Y,0,?,3
57,ZS,C,A,0.0,0.0,T,S,2,500.0,N,?,G,?,?,?,?,B,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,1.6,1320.0,0.0,Y,0,?,3
59,ZS,C,A,0.0,0.0,T,S,5,0.0,N,?,E,?,?,?,?,B,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,1.2,610.0,762.0,Y,0,?,3
68,ZS,C,A,0.0,0.0,T,S,2,0.0,N,?,E,?,?,?,?,B,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.4,20.0,0.0,Y,0,?,3
74,ZS,C,A,4.0,0.0,T,S,2,0.0,N,?,G,?,?,?,?,B,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,0.5,1130.0,0.0,Y,0,?,3
75,ZS,C,R,0.0,0.0,T,S,3,0.0,N,?,E,?,?,?,?,B,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.6,609.0,612.0,Y,0,?,3
88,ZS,C,M,0.0,0.0,T,S,3,600.0,N,?,G,?,?,?,Y,B,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,COIL,1.6,1090.0,0.0,Y,0,?,2
89,TN,C,M,0.0,0.0,T,A,1,0.0,N,?,G,?,?,?,Y,B,Y,?,C,?,?,?,?,?,?,?,?,?,?,?,COIL,0.5,610.0,0.0,Y,0,?,5
92,TN,C,A,0.0,0.0,T,S,2,0.0,N,?,E,?,?,?,Y,B,Y,?,C,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.7,1320.1,4880.0,Y,0,?,3
93,TN,C,A,0.0,0.0,T,S,2,0.0,N,?,E,?,?,?,Y,B,Y,?,C,?,?,?,?,?,?,?,?,?,?,?,SHEET,0.7,610.0,4880.0,Y,0,?,3
